"Step","A_gcn_MT_GraphNorm_lr0.01 - val_MSE","A_gcn_MT_GraphNorm_lr0.01 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.01 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.005 - val_MSE","A_gcn_MT_GraphNorm_lr0.005 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.005 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.001 - val_MSE","A_gcn_MT_GraphNorm_lr0.001 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.001 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE__MAX"
"9","0.08868508785963058","0.08868508785963058","0.08868508785963058","0.08337736129760742","0.08337736129760742","0.08337736129760742","0.09190362691879272","0.09190362691879272","0.09190362691879272","0.10757033101149968","0.10757033101149968","0.10757033101149968","0.1797082381589072","0.1797082381589072","0.1797082381589072"
"19","0.05902038621050971","0.05902038621050971","0.05902038621050971","0.06128724291920662","0.06128724291920662","0.06128724291920662","0.06969757378101349","0.06969757378101349","0.06969757378101349","0.08133367661918912","0.08133367661918912","0.08133367661918912","0.14044748672417232","0.14044748672417232","0.14044748672417232"
"29","0.04998365097812244","0.04998365097812244","0.04998365097812244","0.0506112277507782","0.0506112277507782","0.0506112277507782","0.060437330177852085","0.060437330177852085","0.060437330177852085","0.07042012789419719","0.07042012789419719","0.07042012789419719","0.12060791254043579","0.12060791254043579","0.12060791254043579"
"39","0.046195395823035924","0.046195395823035924","0.046195395823035924","0.04748820832797459","0.04748820832797459","0.04748820832797459","0.05587377292769296","0.05587377292769296","0.05587377292769296","0.06463896642838206","0.06463896642838206","0.06463896642838206","0.10810742527246475","0.10810742527246475","0.10810742527246475"
"49","0.043549690927777975","0.043549690927777975","0.043549690927777975","0.04459239648921149","0.04459239648921149","0.04459239648921149","0.05297753853457315","0.05297753853457315","0.05297753853457315","0.060622171099696844","0.060622171099696844","0.060622171099696844","0.10047092288732529","0.10047092288732529","0.10047092288732529"
"59","0.043249837521995814","0.043249837521995814","0.043249837521995814","0.043617301753589084","0.043617301753589084","0.043617301753589084","0.051433292882783074","0.051433292882783074","0.051433292882783074","0.058053448264087947","0.058053448264087947","0.058053448264087947","0.0945781437414033","0.0945781437414033","0.0945781437414033"
"69","0.043200326817376275","0.043200326817376275","0.043200326817376275","0.042836197784968784","0.042836197784968784","0.042836197784968784","0.04927741310426167","0.04927741310426167","0.04927741310426167","0.056370558483260017","0.056370558483260017","0.056370558483260017","0.09013625979423523","0.09013625979423523","0.09013625979423523"
"79","0.04274415650538036","0.04274415650538036","0.04274415650538036","0.04256021444286619","0.04256021444286619","0.04256021444286619","0.048875742724963596","0.048875742724963596","0.048875742724963596","0.05461942404508591","0.05461942404508591","0.05461942404508591","0.08685921877622604","0.08685921877622604","0.08685921877622604"
"89","0.042530610625232966","0.042530610625232966","0.042530610625232966","0.04248007120830672","0.04248007120830672","0.04248007120830672","0.04809020299996648","0.04809020299996648","0.04809020299996648","0.05406586080789566","0.05406586080789566","0.05406586080789566","0.08433475238936287","0.08433475238936287","0.08433475238936287"
"99","0.04312728877578463","0.04312728877578463","0.04312728877578463","0.04230514967015812","0.04230514967015812","0.04230514967015812","0.047326273151806424","0.047326273151806424","0.047326273151806424","0.05308145231434277","0.05308145231434277","0.05308145231434277","0.08255182206630707","0.08255182206630707","0.08255182206630707"
"109","0.04287778266838619","0.04287778266838619","0.04287778266838619","0.041953082595552714","0.041953082595552714","0.041953082595552714","0.046519549297434945","0.046519549297434945","0.046519549297434945","0.05249508310641561","0.05249508310641561","0.05249508310641561","0.08043005743197032","0.08043005743197032","0.08043005743197032"
"119","0.04300832535539355","0.04300832535539355","0.04300832535539355","0.04191423526832035","0.04191423526832035","0.04191423526832035","0.04636843342866216","0.04636843342866216","0.04636843342866216","0.05165096478802817","0.05165096478802817","0.05165096478802817","0.07929704019001552","0.07929704019001552","0.07929704019001552"
"129","0.04312493971415928","0.04312493971415928","0.04312493971415928","0.042178861796855927","0.042178861796855927","0.042178861796855927","0.04577733629516193","0.04577733629516193","0.04577733629516193","0.051428165818963735","0.051428165818963735","0.051428165818963735","0.07822308582918984","0.07822308582918984","0.07822308582918984"
