"Name","trainer.init.cps_loss_weight","val_MSE","_wandb"
"gcn_n-cps_2_seed=0","5","0.03695938416889736",""
"gcn_n-cps_2_seed=0","4","0.0372715134705816",""
"gcn_n-cps_2_seed=0","3","0.036148162824766975",""
"gcn_n-cps_2_seed=0","2.75","0.034460410475730896",""
"gcn_n-cps_2_seed=0","2.5","0.03456609270402363",""
"gcn_n-cps_2_seed=0","2.25","0.03624305288706507",""
"gcn_n-cps_2_seed=0","2","0.036224797634141784",""
"gcn_n-cps_2_seed=0","1.75","0.03596320429018566",""
"gcn_n-cps_2_seed=0","1.5","0.034256794090781896",""
"gcn_n-cps_2_seed=0","1.25","0.03428890050521919",""
"gcn_n-cps_2_seed=0","1","0.03379177727869579",""
"gcn_n-cps_2_seed=0","0.75","0.034836607586060254",""
"gcn_n-cps_2_seed=0","0.5","0.038137175142765045",""
"gcn_n-cps_2_seed=0","0.25","0.03673908380525453",""
"gcn_n-cps_2_seed=0","0","0.03527212382427284",""
"gcn_n-cps_seed=0","5","0.03864895712052073",""
"gcn_n-cps_seed=0","2","0.03588738638375487",""
"gcn_n-cps_seed=0","1.5","0.03477550643895354",""
"gcn_n-cps_seed=0","1","0.03329089576644557",""
"gcn_n-cps_seed=0","0.5","0.033992769196629524",""
"gcn_n-cps_seed=0","0","0.03686285710760525",""
